,address,amount0,amount1,sender,transaction_hash,timestamp
0,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4894000000,4889094208,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xccc40365323a752d9d26164faacffd4a7288beee2078672614dce284426fec3f,2023-03-19 16:42:00
1,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2047999999,2045947065,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe256d5db894d1ea1206c82f76f56ba374a1a63362f6c95e5edc97c0817f03350,2023-03-19 16:41:00
2,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3841999999,3838148742,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf900877556a5df0d34f732cda8e2b538ef3541dba925a9d4da5acf5a63a32198,2023-03-19 16:40:00
3,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3343000000,3339648945,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc5d1f913ab32cdcf6c9fe4b8b3b6c08c4e34cab0ef9880fd885a48b447c2fa94,2023-03-19 16:40:00
4,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3145999999,3142846419,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x22ac239e6f7d4f6984c0db3134a46c527146a1abba5ff38936daea05c7fd0ca2,2023-03-19 16:39:00
5,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4150000000,4141530708,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x14327224ec4371494e58c98233fb476447329bd927e0921e59696e65fc38c75c,2023-03-19 16:29:00
6,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2755000000,2743620198,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x479486cfa7887a2da5a0b115541d632dfc258d961d241a3b0827f75aa2245e48,2023-03-19 16:28:00
7,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4643000000,4637128826,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7369eed3c4b3d515338257e3b1ed016efa117056f247aae72134300b13c602eb,2023-03-19 14:46:00
8,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1846651872,1844316741,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x70293b0592bffaa49f9a499e937499131a05efc774d0a15001fdf5bb56d146e5,2023-03-19 14:45:00
9,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4096000000,4086246690,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x69ba15620ee54893bc4b87455c5bc4f9745c2896d39d30fec34f1f4081d5952f,2023-03-19 14:44:00
10,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3449999999,3441784931,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xb29d685ad72c498a3b26c7bac1feb3ef568cf5d89ffaba7c5402ec459882a5bb,2023-03-19 14:43:00
11,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3105000000,3092223924,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7f9b648b2d9c09a35b2276fb94dfc755f990dd415bb70fd727b9ae0bb61b5464,2023-03-19 14:42:00
12,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,696000000,695862838,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x222cca7b03e3d93d11711323db8fcdf81441be0d9387010d2f6e7cd2a83f48d8,2023-03-19 14:20:00
13,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3093000000,3092390454,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xdfa9c4e49608bcd555850e186625095b9703ae2a8517bb1155d17f96e3e6a8da,2023-03-19 14:19:00
14,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,348045826434,348158262896,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x725ba278a0d549f10e0a32ab81e104842d394c6046a493bbecf96073a90b464c,2023-03-19 14:09:00
15,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,398000000,398128574,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x707adddfd155573053bdbbd254060b97a193e8a70cd72ba0f83e22be1d56c6dc,2023-03-19 14:07:00
16,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4875999999,4877575195,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x306b87cbae864fbdb211ab2bb8ee3424d7951a36ecc291db7077b6303752f7b2,2023-03-19 14:07:00
17,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1145000000,1146012105,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xdf02d9411741f0675ace45eac7dd71c35c92143dbe438fe1d6f3c2f7a3d4c88b,2023-03-19 14:05:00
18,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2738000000,2741963130,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xcb0da47715e060c7f3b8c4398a7a63e727863256cd13a0a1257cf5eda84da5f6,2023-03-19 14:04:00
19,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4077803620,4085285064,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xcf9bc5c8d5a00c9f197b8157014aadfbdff1b745f59fe9343e2871cbcb84ec8c,2023-03-19 14:03:00
20,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2192000000,2192689731,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x499603fa4386438810c4ecc82a849f34a8cd7cbc7b0409629cb6d9cf5fc0845b,2023-03-19 14:02:00
21,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1445000000,1445454681,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xca6dcc57ed6e1bdb77dcffbbb1a4f86fe380304c18d44c669505fc6e10dd2f24,2023-03-19 14:02:00
22,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4983000000,4987728417,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x3d779a186104caf77ba5e417ec5a61645644505bf0b2b80ee8821cd8aa527d4e,2023-03-19 14:01:00
23,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,848000000,847052571,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x5928cc40fa683eb86b274372af4f711fc51c3215752d500587dfdbacbeb09aae,2023-03-19 14:00:00
