,address,tick_lower,tick_upper,amount,amount0,amount1,owner,sender,transaction_hash,block_number,timestamp
0,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-39,-28,626522549331445,300743651333,44234435411,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x8afbb131311055f2ed31c02e1f03deab17600da31331bc856ce274f8d3615562,16870982,2023-03-20 19:31:00
1,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-39,-33,6092263175158769,982586238216,845109505320,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x491fb8f158526679614c5243000d2bce2bc477737bf0f14a1b34fc07d3eb7a00,16870705,2023-03-20 18:35:00
2,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-40,-25,718482233108399,539711020601,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xdc1c2356aae6bc8660f8e0a496b2d2baf7f7e38ec95adea4d4059aa7a39c2d14,16870372,2023-03-20 17:28:00
3,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-37,-23,769898621444934,539711020602,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9e59c70c5f66ded578af3bc39c02eb0d2dba0d1f7a67d0d20d05e704fbfb4a6f,16870326,2023-03-20 17:19:00
4,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-42,-26,413073192488739,200715394480,129783658860,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x5b14cd4174ebd19994a4557e70d43620c789941b2028bfc216addc9573b6cc1c,16869003,2023-03-20 12:52:00
5,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-36,-26,2182385727078654,1092830810011,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x5cbb1f3385d3468f1b595aa035e7eb3e974b8794d52afa7a7da88e091de7ab09,16868805,2023-03-20 12:12:00
6,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-35,-20,718446255824784,539549097717,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x50c66f0be5c2e688ffb3e5c1745d75c0a9f986ce5d2c0a59443c1485845070fb,16868341,2023-03-20 10:38:00
7,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-35,-25,351000754687781,175755026491,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb450bac125c64811f52db9599d46fe5bddd0263e08526977084866403bcc3f8c,16868331,2023-03-20 10:36:00
8,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-887272,138162,22251666242,22267212086,22213932813,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb7a382fe48e300172e50a026d5a8fd70b62c93ab2647d2627390f9fc0fc4705c,16867826,2023-03-20 08:54:00
9,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-54,887272,22229454035,22266339889,23110830,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x3f38ed1fd71d00f544218c33c4045847f6aebb895b5203d4c824202fe23ba6b0,16867753,2023-03-20 08:39:00
10,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-37,-30,2082073425139633,350295294216,378282421682,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xeba48e41a7b97b911315651c7e081279caade146b3d9687f2f5f922c4c19a8ac,16867637,2023-03-20 08:16:00
11,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-32,-22,2182644902862207,1092742033088,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9c83c511315e177879baac6435f64629bb642f1b5178f27d8559dd44f0451c1d,16867299,2023-03-20 07:08:00
12,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-34,-19,718339397723059,539441876464,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x40fdcc5840602d31e92089a0d56098a257ab2db1b236640d03d35d7d81ec3009,16866842,2023-03-20 05:36:00
13,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-33,-19,769668597541875,539441876465,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x7c2868956c425fad1b862f930c18f7730952ea867a12ec12e17caff60814cb5f,16866788,2023-03-20 05:25:00
14,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-33,-23,350948772994013,175711426789,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x814f8e80acf2bc18a58b11ea247d8e9aab2f9ad926fda3d2307cbc0d69c12e78,16866388,2023-03-20 04:04:00
15,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-31,-30,147208688456618784,0,7348851439450,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xfa9959d80398943cc3dabb75d59535a7fc4eaf00c9763c19403e406ce2eee958,16866287,2023-03-20 03:44:00
