,address,tick_lower,tick_upper,amount,amount0,amount1,owner,sender,transaction_hash,block_number,timestamp
0,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,197700,205320,5909997154006080,42500000000,24718831171765700355,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xbc9e2cbc1537c9eb0cbbcd8f143b5169ebdab83ca9beef62aaab1b1c9edc443b,16870417,2023-03-20 17:37:00
1,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,201540,201600,5475761321266427480,689804645633,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xd3967138ae3d935a760649de7bfc32a65722ffc979210a2f2ee5fc7c6336f46b,16869970,2023-03-20 16:07:00
2,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,194580,208440,40305732482568,497081070,280242739708336541,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x72a6e2901eb2f1ece593b62ab38e105577dcc61d299d309d15110e54b686560f,16869387,2023-03-20 14:09:00
3,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,201120,202860,3052497752678653,8026511272,1605858437308412305,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x74137098c336068daebc01156d6afd7c0e13e949fd7d9c3d5bb7640abcec3cbd,16869276,2023-03-20 13:47:00
4,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,194520,208380,874316682867,10797832,6070550127951913,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x816c3545f2441e2b1d2d3cb5e07c6e49076f0c3b90dbcef47af96b6565361854,16868846,2023-03-20 12:20:00
5,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,200400,202140,6199375948998089,9500000000,7158961570160199781,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x65bfb4e3fef379427fda98f03357ad86be5a77a982219ec39f165b0c464ab08c,16867864,2023-03-20 09:02:00
6,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,201120,202860,339361738303979,1009770549,112509487450098158,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc380d6b9606fec21ee960ae10464d99168687ceb7e685a69ff207c2647dab7fb,16867848,2023-03-20 08:59:00
7,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,201420,201480,436045521064675196661,40171056953151,8436577330462538529302,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x5ec7485aeb4c1e4a66cbe9cfa2b2ce8764204e0fc920f166e9662470c28c2e97,16867474,2023-03-20 07:43:00
8,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,200820,203160,34094338120094307,109606986953,29769799041075495278,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x347f65a39b8e87e8f27fcacb1d76d1f90fe66c21d1b4cdf88d52edf4b2c0b215,16867043,2023-03-20 06:16:00
9,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,201540,201600,436179190665628172578,29847073858525,14210392718706211129743,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x764cb1a12736e9ed3dc8178881b929df5236a77e25350c32179e7db41d217691,16867040,2023-03-20 06:16:00
10,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,197940,205200,12941759565478832,89619970569,51481105168070274978,0x9bf7b46c7ad5ab62034e9349ab912c0345164322,0x9bf7b46c7ad5ab62034e9349ab912c0345164322,0xea53082a08f322d50a2c11271d4af6d66e1af8cb59e126c9157ad0eba358db7a,16866738,2023-03-20 05:15:00
11,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,201600,202800,13570205735427309,33134728272,0,0x9bf7b46c7ad5ab62034e9349ab912c0345164322,0x9bf7b46c7ad5ab62034e9349ab912c0345164322,0xea53082a08f322d50a2c11271d4af6d66e1af8cb59e126c9157ad0eba358db7a,16866738,2023-03-20 05:15:00
12,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,201660,202380,188641950904478917,278838847817,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x2fb20dc1cdd1eb86fb9dc3d2875f03ff3ba67864165f9ca89a285367f769573c,16866440,2023-03-20 04:14:00
13,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,201480,201540,314467857174419197519,34593128423652,2890150425812056808954,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xf488c00b318fab65d4655280f3e8471de369e4dddcbce28d61884355beb30e37,16865553,2023-03-20 01:15:00
14,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,201480,201540,293465986373067359090,36856490165060,125730855413596849633,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x72c1126e5373728369f82d383b54d8b59bdb6317708f2397885c2b34c15f6888,16865436,2023-03-20 00:52:00
15,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,198060,211920,1085462156262112,18650000000,4027380160146862461,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x33b1f503ff8b8bf2af4a56a5f223ec0f065674bcfe7fede87b5c04015a9bd82a,16865332,2023-03-20 00:30:00
16,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,201420,201480,228289575462684497224,6295784336901,12674719214300448305318,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xbdc7ee9babe12f55d6443cb4812859dee10b506e6bfe7177cd142f0022a0bab1,16865276,2023-03-20 00:19:00
17,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,194700,204600,226677028187551,1461741255,1499999999545512144,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xd3d6b96e2500f42c07f106db38ad1c1632807e4f75706b5d33d430d7c12e4697,16865075,2023-03-19 23:38:00
18,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,194700,204600,420867025800347,2713987824,2785022124019147910,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x3b02de3eaeea73ba3b55c4ecb2ffda31b2208ad43dfc24ec474d50135fc6cd2a,16865062,2023-03-19 23:35:00
19,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,194700,204600,1015170081464924,6546388934,6717730216914995488,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x62b02a73be2fb9ef3c258d6b593ead9f10252e292052d9424594d4d2a9657705,16865044,2023-03-19 23:32:00
20,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,197460,208260,53276936062994,665065489,219414771058958464,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x286f8baa96af123ea742188cde75c9c378647415b168516912f6446a0061b10c,16864991,2023-03-19 23:21:00
21,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,201180,203820,31529625755014,157264248,5318047801266169,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x3021dc4b7bd1d1cc4168532bd0e01ed80d6c02b26a04ac71d451c91d14a77beb,16864841,2023-03-19 22:51:00
22,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,201360,201420,335589520657261974003,35904286967169,3751908108008154382415,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa2eab18fb2391190b0f25c6e93d594f1b09f052afda97fd27e5ca59770005c78,16864604,2023-03-19 22:03:00
23,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,200820,201180,360075258132413589,0,149999999999999999686,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x5f32d533009f61d5d098e90dd18c2cff952f751379c4223afc77eaa0642b716b,16863899,2023-03-19 19:41:00
