,block_number,pool_address,liquidity_hex,max_liquidity_per_tick_hex,slot0_sqrt_price_x96_hex
0,16871334,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
1,16871333,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
2,16871332,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
3,16871331,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
4,16871330,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
5,16871329,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
6,16871328,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
7,16871327,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
8,16871326,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
9,16871325,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
10,16871324,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
11,16871323,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
12,16871322,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
13,16871321,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
14,16871320,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x7c6ec388d711e853,0x23746e6a58dcb13d4af821b93f062,0x5d135265c87f0a870a5c5c40f7de
